SCHOOL TEXT
SEASON INTEGER
GAME_NUM INTEGER
DATE INTEGER
LOCATION TEXT
OPPONENT TEXT
GAME_RESULT TEXT
SCHOOL_PTS INTEGER
OPPONENT_PTS INTEGER
SFG   school field goals INTEGER
SFGA  school field goal attempts INTEGER
SFGP  school field goal percentage REAL
S3P   school 3-point field goals INTEGER
S3PA  school 3-point attempts INTEGER
S3PP  school 3-point percentage REAL
SFT   school free throws INTEGER
SFTA  school free throw attempts INTEGER
SFTP  school free throw percentage REAL
SORB  school offensive rebounds INTEGER
STRB  school total rebounds INTEGER
SAST  school assists INTEGER
SSTL  school steals INTEGER
SBLK  school blocks INTEGER
STOV  school turnovers INTEGER
SPF   school personal fouls INTEGER
OFG   opponent field goals INTEGER
OFGA  opponent field goal attempts INTEGER
OFGP  opponent field goal percentage REAL
O3P   opponent 3-point field goals INTEGER
O3PA  opponent 3-point attempts INTEGER
O3PP  opponent 3-point percentage REAL
OFT   opponent free throws INTEGER
OFTA  opponent free throw attempts INTEGER
OFTP  opponent free throw percentage REAL
OORB  opponent offensive rebounds INTEGER
OTRB  opponent total rebounds INTEGER
OAST  opponent assists INTEGER
OSTL  opponent steals INTEGER
OBLK  opponent blocks INTEGER
OTOV  opponent turnovers INTEGER
OPF   opponent personal fouls INTEGER
