,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,2016-11-11,N,Arizona,L,63,65,25,58,.431,8,25,.320,5,9,.556,10,28,15,4,1,17,23,,20,52,.385,5,14,.357,20,27,.741,7,26,7,12,2,14,20
2,2016-11-15,N,Kentucky,L,48,69,20,61,.328,5,26,.192,3,9,.333,12,41,9,0,4,19,20,,23,60,.383,7,21,.333,16,20,.800,8,36,17,8,8,12,16
3,2016-11-18,,Mississippi Valley State,W,100,53,39,59,.661,16,28,.571,6,10,.600,12,42,33,6,4,14,15,,22,67,.328,5,16,.313,4,7,.571,10,19,13,8,3,6,15
4,2016-11-20,,Florida Gulf Coast,W,78,77,25,49,.510,9,17,.529,19,33,.576,6,29,21,3,8,12,18,,29,63,.460,8,17,.471,11,17,.647,12,37,16,8,2,13,28
5,2016-11-23,N,St. John's (NY),W,73,62,25,58,.431,9,24,.375,14,22,.636,6,46,16,1,4,13,19,,20,65,.308,8,22,.364,14,19,.737,6,31,8,2,6,5,24
6,2016-11-24,N,Baylor,L,58,73,22,51,.431,7,23,.304,7,9,.778,3,27,17,3,6,12,14,,30,64,.469,5,16,.313,8,11,.727,8,31,24,5,2,7,8
7,2016-11-25,N,Wichita State,W,77,72,26,52,.500,11,25,.440,14,21,.667,7,34,20,2,6,14,25,,22,61,.361,5,22,.227,23,30,.767,11,29,9,8,1,6,20
8,2016-11-29,@,Duke,L,69,78,27,55,.491,5,16,.313,10,14,.714,8,38,16,3,1,17,20,,30,66,.455,7,26,.269,11,20,.550,9,31,14,8,3,9,16
9,2016-12-03,,Oral Roberts,W,80,76,24,54,.444,7,20,.350,25,34,.735,11,36,19,4,8,10,19,,25,65,.385,8,18,.444,18,21,.857,10,31,13,4,4,10,25
10,2016-12-06,,Youngstown State,W,77,57,34,67,.507,8,25,.320,1,6,.167,14,47,28,7,8,12,15,,20,61,.328,8,24,.333,9,11,.818,8,29,15,2,3,12,14
11,2016-12-10,,Tennessee Tech,W,71,63,22,47,.468,10,25,.400,17,30,.567,8,33,19,3,6,12,22,,21,52,.404,5,14,.357,16,22,.727,8,30,12,5,4,14,28
12,2016-12-18,,Northeastern,L,73,81,26,54,.481,5,16,.313,16,26,.615,8,30,17,7,7,14,21,,25,55,.455,11,23,.478,20,24,.833,7,32,17,5,2,15,24
13,2016-12-21,,Oakland,W,77,65,23,48,.479,7,16,.438,24,37,.649,12,36,15,11,7,17,25,,21,57,.368,8,24,.333,15,21,.714,12,30,10,11,5,20,28
14,2016-12-27,@,Minnesota,W (1 OT),75,74,30,66,.455,5,18,.278,10,22,.455,7,35,17,9,7,11,31,,20,53,.377,3,13,.231,31,45,.689,9,43,11,5,8,15,20
15,2016-12-30,,Northwestern,W,61,52,21,49,.429,4,17,.235,15,22,.682,10,40,14,5,4,12,18,,19,53,.358,7,19,.368,7,12,.583,6,25,13,5,1,11,23
16,2017-01-04,,Rutgers,W,93,65,33,57,.579,11,22,.500,16,22,.727,7,33,26,6,10,10,22,,25,60,.417,3,8,.375,12,27,.444,13,29,7,8,3,13,20
17,2017-01-07,N,Penn State,L,63,72,23,56,.411,7,23,.304,10,14,.714,2,25,11,7,6,17,26,,26,56,.464,5,19,.263,15,24,.625,8,36,18,4,5,13,18
18,2017-01-11,,Minnesota,W,65,47,23,54,.426,5,14,.357,14,17,.824,9,38,15,6,7,13,14,,19,57,.333,3,16,.188,6,7,.857,5,26,6,4,4,12,16
19,2017-01-15,@,Ohio State,L,67,72,25,50,.500,9,19,.474,8,14,.571,5,28,17,3,1,15,19,,24,52,.462,10,23,.435,14,20,.700,5,25,13,5,3,11,17
20,2017-01-21,@,Indiana,L,75,82,24,54,.444,8,18,.444,19,25,.760,12,30,11,2,2,12,20,,29,59,.492,11,24,.458,13,16,.813,11,30,12,4,3,9,20
21,2017-01-24,,Purdue,L,73,84,27,52,.519,11,24,.458,8,14,.571,4,23,20,6,6,13,22,,26,53,.491,11,21,.524,21,24,.875,11,35,21,4,0,13,14
22,2017-01-29,,Michigan,W,70,62,24,46,.522,5,11,.455,17,23,.739,8,30,13,8,4,11,18,,19,56,.339,7,26,.269,17,19,.895,12,28,9,3,3,12,21
23,2017-02-02,@,Nebraska,W,72,61,29,52,.558,11,17,.647,3,6,.500,5,26,14,4,4,14,22,,20,52,.385,4,16,.250,17,22,.773,12,32,6,7,3,13,17
24,2017-02-07,@,Michigan,L,57,86,23,48,.479,5,16,.313,6,9,.667,6,24,10,3,0,17,19,,32,53,.604,10,21,.476,12,14,.857,2,22,18,6,1,8,11
25,2017-02-11,,Iowa,W,77,66,29,60,.483,9,26,.346,10,14,.714,13,44,24,5,5,18,19,,21,64,.328,4,21,.190,20,27,.741,14,30,17,12,2,8,18
